Paper_ID,Authors,Year,Drug,Dose_mg,Formulation,Route,Condition,Gravity_Model,Duration,Subjects_n,Sample_Matrix,Cmax_value,Cmax_unit,Tmax_h,AUC0t_value,AUC0t_unit,AUC0inf_value,AUC0inf_unit,t_half_h,Clearance,Clearance_unit,Vd,Vd_unit,MRT_h,Notes,Journal,Cmax_ug_mL,AUC0t_ug_h_mL,AUC0inf_ug_h_mL,Cmax_unit_harmonized,AUC_unit_harmonized,Cmax_ugmL_per_500mg,AUC_ughmL_per_500mg
Gandia2003,Gandia et al.,2003,Paracetamol,1000,Not specified,Oral,HDT Day 80 Global,HDT -6 degrees,80 days,18,Plasma,14.74,µg/mL,0.91,34.24,µg*h/mL,,,2.19,,,,,,Global mean; Cmax +83% vs HDT0; Tmax -64%,,14.74,34.24,,µg/mL,µg·h/mL,7.37,17.12
Gandia2003,Gandia et al.,2003,Paracetamol,1000,Not specified,Oral,Earth (Ambulatory HDT0) Global,HDT -6 degrees,Before BR,18,Saliva,8.91,µg/mL,2.91,40.64,µg*h/mL,43.73,µg*h/mL,2.58,,,,,,Saliva data global mean,,8.91,40.64,43.73,µg/mL,µg·h/mL,4.455,20.32
Gandia2003,Gandia et al.,2003,Paracetamol,1000,Not specified,Oral,HDT Day 1 Global,HDT -6 degrees,1 day,18,Saliva,11.95,µg/mL,1.53,45.23,µg*h/mL,47.95,µg*h/mL,2.66,,,,,,Saliva data global mean,,11.95,45.23,47.95,µg/mL,µg·h/mL,5.975,22.615
Gandia2003,Gandia et al.,2003,Paracetamol,1000,Not specified,Oral,HDT Day 18 Global,HDT -6 degrees,18 days,18,Saliva,12.21,µg/mL,1.42,43.33,µg*h/mL,45.84,µg*h/mL,2.61,,,,,,Saliva data global mean,,12.21,43.33,45.84,µg/mL,µg·h/mL,6.105,21.665
Gandia2003,Gandia et al.,2003,Paracetamol,1000,Not specified,Oral,HDT Day 80 Global,HDT -6 degrees,80 days,18,Saliva,19.45,µg/mL,0.88,51.4,µg*h/mL,53.47,µg*h/mL,2.45,,,,,,Saliva data global mean; significant increase AUC at day 80,,19.45,51.4,53.47,µg/mL,µg·h/mL,9.725,25.7
Kovachevich2009,Kovachevich et al.,2009,Paracetamol,500,Tablets,Oral,Earth (Pre-flight ~2 months before),Real ISS,Ground control,5,Saliva,5.13,µg/mL,1.12,12.76,µg*h/mL,16.21,µg*h/mL,3.01,31.99,L/h,146.7,L,4.24,Cmax/AUC0inf = 0.336 1/h,,5.13,12.76,16.21,µg/mL,µg·h/mL,5.13,12.76
Kovachevich2009,Kovachevich et al.,2009,Paracetamol,500,Tablets,Oral,ISS Spaceflight,Real ISS,Long-term ISS 76-152 days,5,Saliva,4.8,µg/mL,1.8,15.03,µg*h/mL,19.79,µg*h/mL,3.24,27.73,L/h,124.6,L,4.79,Relative bioavailability f=126.72%; relative absorption rate fI=124.45%; delayed absorption 2 peaks observed,,4.8,15.03,19.79,µg/mL,µg·h/mL,4.8,15.03
Kovachevich2009,Kovachevich et al.,2009,Paracetamol,500,Capsules,Oral,Earth (Pre-flight ~2 months before),Real ISS,Ground control,5,Saliva,5.0,µg/mL,0.9,12.35,µg*h/mL,14.81,µg*h/mL,1.82,41.13,L/h,92.9,L,3.01,Cmax/AUC0inf = 0.233 1/h,,5.0,12.35,14.81,µg/mL,µg·h/mL,5.0,12.35
Kovachevich2009,Kovachevich et al.,2009,Paracetamol,500,Capsules,Oral,ISS Spaceflight,Real ISS,Long-term ISS 76-152 days,5,Saliva,4.17,µg/mL,0.6,11.12,µg*h/mL,17.23,µg*h/mL,3.72,36.17,L/h,176.9,L,5.52,*Tmax T1/2 MRT Vd significantly changed; no significant change in bioavailability,,4.17,11.12,17.23,µg/mL,µg·h/mL,4.17,11.12
Putcha1991,Putcha & Cintron,1991,Paracetamol,650,Not specified,Oral,Earth (Pre-flight),Space Shuttle,Ground control,12,Saliva,,µg/mL,,,,,,,,,,,,Cmax decreased MD0-1; increased MD2-3; decreased MD4; Tmax increased MD0-4 (graph data only no exact numbers),,,,,µg/mL,µg·h/mL,,
Putcha1991,Putcha & Cintron,1991,Paracetamol,650,Not specified,Oral,Space Flight Day 0-1,Space Shuttle,Mission day 0-1,12,Saliva,,µg/mL,,,,,,,,,,,,Cmax decreased on MD0-1 (bimodal distribution noted); exact values in graph only,,,,,µg/mL,µg·h/mL,,
Putcha1991,Putcha & Cintron,1991,Paracetamol,650,Not specified,Oral,Space Flight Day 2-3,Space Shuttle,Mission day 2-3,12,Saliva,,µg/mL,,,,,,,,,,,,Cmax increased MD2-3; Tmax increased,,,,,µg/mL,µg·h/mL,,
Putcha1991,Putcha & Cintron,1991,Paracetamol,650,Not specified,Oral,Space Flight Day 4,Space Shuttle,Mission day 4,12,Saliva,,µg/mL,,,,,,,,,,,,Cmax decreased MD4; Tmax continued increased,,,,,µg/mL,µg·h/mL,,
Rumble1991,Rumble et al.,1991,Paracetamol,500,Tablets,Oral,Ambulation (Morning),Horizontal bed rest,Ambulatory,8,Plasma,9.47,mg/L,,25.4,mg/L*h,,,,21.1,L/h,0.94,L/kg,195.5 min,MRT=195.5 min; Ae=0.020 fraction dose; ClR=0.245 L/h,,9.47,25.4,,µg/mL,µg·h/mL,9.47,25.4
Rumble1991,Rumble et al.,1991,Paracetamol,500,Tablets,Oral,Bed Rest (Morning),Horizontal bed rest,1 day HBR,8,Plasma,8.65,mg/L,,24.4,mg/L*h,,,,22.5,L/h,0.92,L/kg,201.7 min,MRT=201.7 min; Ae=0.032; ClR=0.280 L/h; urinary flow significantly higher,,8.65,24.4,,µg/mL,µg·h/mL,8.65,24.4
Rumble1991,Rumble et al.,1991,Paracetamol,500,Tablets,Oral,Sleep (Midnight),Horizontal bed rest,Sleep,8,Plasma,7.29,mg/L,,27.4,mg/L*h,,,,19.9,L/h,1.02,L/kg,239.6 min,MRT significantly longer during sleep vs ambulation (p<0.05); Vd/f not significantly different,,7.29,27.4,,µg/mL,µg·h/mL,7.29,27.4
Renwick1992,Renwick et al.,1992,Paracetamol,1000,Soluble,Oral,Recumbent Left,Horizontal bed rest,Left lateral,8,Plasma,18.3,µg/mL,0.52,44.5,µg/mL*h,,,2.46,,,,,3.42,MRT 3.42h; co-administered with nifedipine,,18.3,44.5,,µg/mL,µg·h/mL,9.15,22.25
Renwick1992,Renwick et al.,1992,Paracetamol,1000,Soluble,Oral,Recumbent Right,Horizontal bed rest,Right lateral,8,Plasma,23.1,µg/mL,0.34,47.6,µg/mL*h,,,2.35,,,,,3.19,Tmax significantly shorter vs left (p<0.05); MRT 3.19h,,23.1,47.6,,µg/mL,µg·h/mL,11.55,23.8
Renwick1992,Renwick et al.,1992,Paracetamol,1000,Soluble,Oral,Standing,Horizontal bed rest,Standing,8,Plasma,20.6,µg/mL,0.34,44.1,µg/mL*h,,,2.19,,,,,3.08,Tmax significantly shorter vs left (p<0.05); MRT 3.08h,,20.6,44.1,,µg/mL,µg·h/mL,10.3,22.05
Renwick1992,Renwick et al.,1992,Nifedipine,20,Capsules,Oral,Recumbent Left,Horizontal bed rest,Left lateral,8,Plasma,148.7,ng/mL,0.95,354.1,ng/mL*h,,,4.33,,,,,5.62,MRT 5.62h; ratio nifedipine/metabolite Cmax=2.33,,0.1487,0.3541,,µg/mL,µg·h/mL,3.7175,8.852500000000001
Renwick1992,Renwick et al.,1992,Nifedipine,20,Capsules,Oral,Recumbent Right,Horizontal bed rest,Right lateral,8,Plasma,267.9,ng/mL,0.45,490.3,ng/mL*h,,,5.47,,,,,5.11,Cmax and AUC significantly higher vs left (p<0.05); MRT 5.11h,,0.26789999999999997,0.4903,,µg/mL,µg·h/mL,6.697499999999999,12.2575
Renwick1992,Renwick et al.,1992,Nifedipine,20,Capsules,Oral,Standing,Horizontal bed rest,Standing,8,Plasma,369.6,ng/mL,0.32,460.3,ng/mL*h,,,3.98,,,,,3.37,Cmax and AUC significantly higher vs left (p<0.05); MRT significantly shorter,,0.36960000000000004,0.46030000000000004,,µg/mL,µg·h/mL,9.24,11.5075
Gandia2006,Gandia et al.,2006,Promethazine,50,Tablets,Oral,Ambulatory,HDT -6 degrees,Before BR,12,Plasma,22.5,µg/L,2.9,,,363.0,µg/L*h,15.6,261.7,L/h,4848.0,L,,ke=0.048/h; Cl/F and Vd/F are apparent values,,0.0225,,363.0,µg/mL,µg·h/mL,0.22499999999999998,3630.0
Gandia2006,Gandia et al.,2006,Promethazine,50,Tablets,Oral,Bed Rest HDT,HDT -6 degrees,48 hours HDT,12,Plasma,31.2,µg/L,3.2,,,438.0,µg/L*h,15.3,188.6,L/h,3317.0,L,,AUC increased 26% during simulated weightlessness vs ambulatory (p<0.05); ke=0.055/h,,0.0312,,438.0,µg/mL,µg·h/mL,0.312,4380.0
Gandia2006,Gandia et al.,2006,Promethazine,50,IM injection,Intramuscular,Ambulatory,HDT -6 degrees,Before BR,12,Plasma,52.4,µg/L,2.0,,,958.0,µg/L*h,17.8,56.5,L/h,1364.0,L,,ke=0.043/h; AUC ~3x higher than oral route,,0.0524,,958.0,µg/mL,µg·h/mL,0.524,9580.0
Gandia2006,Gandia et al.,2006,Promethazine,50,IM injection,Intramuscular,Bed Rest HDT,HDT -6 degrees,48 hours HDT,12,Plasma,55.4,µg/L,1.6,,,1015.0,µg/L*h,19.3,55.9,L/h,1386.0,L,,No significant change vs ambulatory IM (bioequivalent); ke=0.043/h,,0.0554,,1015.0,µg/mL,µg·h/mL,0.5539999999999999,10150.0
Schuck2005,Schuck et al.,2005,Ciprofloxacin,250,Tablets,Oral,Normal Gravity 1G,HDT -6 degrees,Ambulatory,6,Plasma,773.7,ng/mL,2.4,3177.4,ng/mL*h,,,3.7,90.5,L/h,457.0,L,6.5,Free ciprofloxacin AUC=2518.2 ng/mL*h; protein binding ~15%; MRT=6.5h,,0.7737,3.1774,,µg/mL,µg·h/mL,1.5474,6.3548
Schuck2005,Schuck et al.,2005,Ciprofloxacin,250,Tablets,Oral,Simulated Microgravity sµG,HDT -6 degrees,2 days 6-degree HDT,6,Plasma,692.1,ng/mL,2.5,3143.5,ng/mL*h,,,4.3,80.2,L/h,491.0,L,7.6,Free ciprofloxacin AUC=2546.5 ng/mL*h; no significant differences from 1G; MRT=7.6h,,0.6921,3.1435,,µg/mL,µg·h/mL,1.3842,6.287
Schuck2005,Schuck et al.,2005,Ciprofloxacin,250,Tablets,Oral,Normal Gravity 1G,HDT -6 degrees,Ambulatory,5,Muscle (microdialysis),306.3,ng/mL,3.0,1860.7,ng/mL*h,,,4.2,,,,,7.6,Tissue penetration f=0.92; MRT muscle=7.6h,,0.3063,1.8607,,µg/mL,µg·h/mL,0.6126,3.7214
Schuck2005,Schuck et al.,2005,Ciprofloxacin,250,Tablets,Oral,Simulated Microgravity sµG,HDT -6 degrees,2 days 6-degree HDT,5,Muscle (microdialysis),293.7,ng/mL,4.2,1540.1,ng/mL*h,,,4.0,,,,,7.5,Tissue penetration f=0.61; slightly lower than 1G but not significant; MRT muscle=7.5h,,0.2937,1.5401,,µg/mL,µg·h/mL,0.5874,3.0802
DelloRusso2022,Dello Russo et al. (citing Cintron 1987a),2022,Paracetamol,650 (2x325),Tablets,Oral,Earth Pre-flight control,Space Shuttle,Ground control,5,Saliva,10.78,mg/mL,0.5,,,,,,,,,,,Cmax SD=1.68; Tmax SD=0 h; large intersubject variability in-flight,,10.78,,,µg/mL,µg·h/mL,,
DelloRusso2022,Dello Russo et al. (citing Cintron 1987a),2022,Paracetamol,650 (2x325),Tablets,Oral,In-Flight Space Shuttle,Space Shuttle,Mission days 2-4,5,Saliva,11.4,mg/mL,0.7,,,,,,,,,,,Cmax SD=4.23; Tmax SD=0.37 h; significant changes in absorption phase; increased variability in-flight,,11.4,,,µg/mL,µg·h/mL,,
DelloRusso2022,Dello Russo et al. (citing Cintron 1987b),2022,Scopolamine,0.4/5,Capsules,Oral,Earth Pre-flight control,Space Shuttle,Ground control,3,Saliva,406.33,pg/mL,2.0,,,,,,,,,,,Cmax SD=169.09; Tmax SD=0.82h; large intersubject variability,,0.00040632999999999994,,,µg/mL,µg·h/mL,,
DelloRusso2022,Dello Russo et al. (citing Cintron 1987b),2022,Scopolamine,0.4/5,Capsules,Oral,In-Flight Space Shuttle,Space Shuttle,Mission days 0-3,4,Saliva,375.25,pg/mL,2.5,,,,,,,,,,,Cmax SD=194.38; Tmax SD=1.06h; Cmax trend reduced; Tmax trend increased,,0.00037525,,,µg/mL,µg·h/mL,,
DelloRusso2022,Dello Russo et al. (citing Polyakov 2021),2022,Paracetamol,625,Film-coated tablets,Oral,Earth Pre-flight control,Real ISS/MIR,Ground control ~2 months before mission,8,Saliva,11.5,µg/mL,0.78,,,45.5,µg/mL*h,,,,,,Cmax SD=1.3; AUC0inf SD=3.71; Tmax SD=0.07h,,,11.5,,45.5,µg/mL,µg·h/mL,9.200000000000001,36.4
DelloRusso2022,Dello Russo et al. (citing Polyakov 2021),2022,Paracetamol,625,Film-coated tablets,Oral,In-Flight MIR/ISS,Real MIR/ISS,Long-term spaceflight 127-414 days,5,Saliva,5.4,µg/mL,1.8,,,19.8,µg/mL*h,,,,,,Cmax SD=1.2; AUC0inf SD=2.8; Tmax SD=0.20h; t1/2 increased*; relative bioavailability 48.02% (significantly reduced),,,5.4,,19.8,µg/mL,µg·h/mL,4.32,15.840000000000002
Saivin1995,Saivin et al.,1995,Lidocaine,1 mg/kg IV,IV bolus 3min,IV,Earth (Ambulatory Day1),Ambulatory,Day 1,8,Plasma,1.47,mg/L,,130.69,mg/L*min,,,4.4,8.24,mL/kg/min,2.77,L/kg,,Baseline ambulatory; t½=264min converted to h,J Clin Pharmacol,1.47,130.69,,µg/mL,µg·h/mL,,
Saivin1995,Saivin et al.,1995,Lidocaine,1 mg/kg IV,IV bolus 3min,IV,HDT Day2 (Simulated microgravity),-6deg HDT BR,Day 2,8,Plasma,0.96,mg/L,,92.51,mg/L*min,,,,11.63,mL/kg/min,3.73,L/kg,,HDT Day2; Cmax sig decreased; Cl increased; Vd increased,J Clin Pharmacol,0.96,92.51,,µg/mL,µg·h/mL,,
Saivin1995,Saivin et al.,1995,Lidocaine,1 mg/kg IV,IV bolus 3min,IV,HDT Day5 (Simulated microgravity),-6deg HDT BR,Day 5,8,Plasma,,mg/L,,,,,,2.67,10.0,mL/kg/min,2.33,L/kg,,HDT Day5; t½=160min converted; Vd decreased back; Cl stabilized ~10,J Clin Pharmacol,,,,µg/mL,µg·h/mL,,
Saivin1995,Saivin et al.,1995,Lidocaine,1 mg/kg IV,IV bolus 3min,IV,Recovery Day7 (Post HDT),Post HDT recovery,Day 7,8,Plasma,,mg/L,,,,,,2.67,10.0,mL/kg/min,2.33,L/kg,,t½ decreased 40% vs Day1; t½=160min=2.67h; Cl/Vd stabilized,J Clin Pharmacol,,,,µg/mL,µg·h/mL,,
Idkaidek2011,Idkaidek & Arafat,2011,Ibuprofen,600,Oral tablet,Oral,Earth (Normal gravity 1G),Normal standing,1 day,6,Plasma,40.12,µg/mL,1.37,20.97,µg*h/mL,128.88,µg*h/mL,1.82,,,,,,Earth baseline; Ka=0.79/h; Kel=0.39/h,J Clin Pharmacol,40.12,20.97,128.88,µg/mL,µg·h/mL,33.43333333333333,17.475
Idkaidek2011,Idkaidek & Arafat,2011,Ibuprofen,600,Oral tablet,Oral,Simulated Microgravity (ABR),Antiorthostatic Bed Rest,1 day,6,Plasma,38.79,µg/mL,1.14,112.66,µg*h/mL,120.77,µg*h/mL,1.96,,,,,,Simulated µG; Tmax sig decreased p<0.05; Ka=2.24/h sig increased p=0.03; AUC/Cmax/t½ NOT significant; no dose adjustment needed,J Clin Pharmacol,38.79,112.66,120.77,µg/mL,µg·h/mL,32.325,93.88333333333334
Polyakov2021,Polyakov et al.,2021,Paracetamol,625,Film-coated tablet,Oral,Earth (Background normal),Normal ambulatory,Baseline,7,Plasma,11.5,µg/mL,0.78,,,45.5,µg*h/mL,,,,,,,Ground baseline before ANOH; n=8 for SF background,Drug Metab Pers Ther,11.5,,45.5,µg/mL,µg·h/mL,9.200000000000001,36.4
Polyakov2021,Polyakov et al.,2021,Paracetamol,625,Film-coated tablet,Oral,ANOH (8deg HDT 2 days),8deg HDT BR,2 days,7,Plasma,5.4,µg/mL,1.8,,,19.8,µg*h/mL,,,,,,,ANOH; Cmax -53% sig; AUC -57% sig; Tmax +131% sig; bioavail -52%; Cl +147%; rel absorption rate +26%,Drug Metab Pers Ther,5.4,,19.8,µg/mL,µg·h/mL,4.32,15.840000000000002
Polyakov2021,Polyakov et al.,2021,Paracetamol,625,Film-coated tablet,Oral,Real Spaceflight (MIR/ISS 127-414 days),Real spaceflight,127-414 days,5,Saliva,5.4,µg/mL,1.8,,,19.8,µg*h/mL,,,,,,,Real ISS/MIR long-term SF; AUC0inf-57%; Cmax-53%; Tmax+131%; bioavail-52%; relative bioavail 48.02%; n=5 inflight n=8 ground,Drug Metab Pers Ther,5.4,,19.8,µg/mL,µg·h/mL,4.32,15.840000000000002
Polyakov2021,Polyakov et al.,2021,Verapamil,80,Oral tablet,Oral,Earth (Background),Normal ambulatory,Baseline,8,Plasma,,,,,,,,,,,,,,Verapamil baseline; no significant PK differences in ANOH; relative bioavail +23%; absorption rate +42%; Vz trend -54%,Drug Metab Pers Ther,,,,µg/mL,µg·h/mL,,
Polyakov2021,Polyakov et al.,2021,Verapamil,80,Oral tablet,Oral,ANOH (8deg HDT 2 days),8deg HDT BR,2 days,8,Plasma,,,,,,,,,,,,,,ANOH; similar PK profile; rel bioavail +23%; absorption rate +142%; Vz -54% trend; Clt -23% trend,Drug Metab Pers Ther,,,,µg/mL,µg·h/mL,,
Polyakov2021,Polyakov et al.,2021,Propranolol,80,Oral tablet,Oral,Earth (Background),Normal ambulatory,Baseline,8,Plasma,,,,,,,,,,,,,,Propranolol baseline; no sig differences in ANOH; rel bioavail -5%; absorption rate +158%,Drug Metab Pers Ther,,,,µg/mL,µg·h/mL,,
Polyakov2021,Polyakov et al.,2021,Propranolol,80,Oral tablet,Oral,ANOH (8deg HDT 2 days),8deg HDT BR,2 days,8,Plasma,,,,,,,,,,,,,,ANOH identical PK profile; Vz -8% trend; Clt +13% trend; rel bioavail 95.21%; absorption rate 157.85%,Drug Metab Pers Ther,,,,µg/mL,µg·h/mL,,
Polyakov2021,Polyakov et al.,2021,Furosemide,40,Oral tablet,Oral,Earth (Background),Normal ambulatory,Baseline,6,Plasma,,,,,,,,,,,,,,Furosemide baseline,Drug Metab Pers Ther,,,,µg/mL,µg·h/mL,,
Polyakov2021,Polyakov et al.,2021,Furosemide,40,Oral tablet,Oral,ANOH (8deg HDT 2 days),8deg HDT BR,2 days,6,Plasma,,,,,,,,,,,,,,ANOH similar profile; Vz -20% trend; Clt -9% trend; rel bioavail +13%; absorption rate 80.19%,Drug Metab Pers Ther,,,,µg/mL,µg·h/mL,,
